Card Name,,,Code,Quantity (FE),Quantity (U),Price (FE),Price (U)
Cybernetic Overflow,,,MP19-EN129,2,0,,
Cybersal Cyclone,,,MP19-EN033,2,0,,
Cyberse Wizard,,,SDCL-EN009,1,0,,
Cycle of the World,,,CYHO-EN056,0,1,,
Cynet Fusion,,,MP19-EN193,1,0,,
Cynet Ritual,,,MP19-EN113,1,0,,
D-Spirit,,,POTD-EN041,0,1,,
D.D. Patrol Plane,,,CHIM-EN028,1,1,,
D.D.R. - Different Dimension Reincarnation,,,SDCL-EN026,1,0,,
Dances with Beasts,,,CHIM-EN097,2,0,,
Dark Bat,,,PSV-058,0,1,,
Dark Blade,,,YS14-EN005,1,0,,
Dark Blade,,,YSYR-EN007,1,0,,
Dark Bribe,,,YS17-EN040,1,0,,
Dark Calling,,,LED5-EN022,1,0,,
Dark Eradicator Warlock,,,OP02-EN016,0,1,,
Dark Fusion,,,DP06-EN018,1,0,,
Dark Hole,,,SDY-022,0,1,,
Dark Hole,,,SDJ-026,0,1,,
Dark Hole,,,SDP-026,0,1,,
Dark Lucius LV4,,,CDIP-EN009,1,0,,
Dark Magic Attack,,,LCYW-EN071,1,0,,
Dark Magical Circle,,,LED6-EN009,1,0,,
Dark Magician,,,YSYR-EN001,0,1,,
Dark Magician Girl,,,LED6-EN000,1,0,,
Dark Necrofear,,,LED5-EN006,1,0,,
Dark Resonator,,,BPO2-EN067,0,4,,
Dark Snake Syndrome,,,PGD-087,1,0,,
Dark Valkyria,,,BP01-EN152,1,0,,
Dark Verger,,,LC5D-EN087,1,0,,
Dark World Lightning,,,EEN-EN038,1,0,,
Darklord Desire,,,RYMP-EN077,0,1,,
Darklord Zerato,,,LCYW-EN212,1,0,,
Daruma Dropper,,,IGAS-EN029,3,0,,
De-Fusion,,,LCYW-EN063,2,0,,
De-Synchro,,,5DS2-EN029,1,0,,
Dealer's Choice,,,CYHO-EN080,0,2,,
Dealer's Choice,,,MP19-EN135,2,0,,
Debris Dragon,,,SDCL-EN016,1,0,,
Deep Sweeper,,,ABYR-EN007,1,0,,
Defense Draw,,,5DS3-EN038,1,0,,
"Demise, Agent of Armageddon",,,CYHO-EN028,0,2,,
Des Feral Imp,,,YSKR-EN015,1,0,,
Des Lacooda,,,PGD-030,0,1,,
Des Wombat,,,TLM-EN031,0,1,,
Desert Protector,,,CRMS-EN034,1,0,,
Destiny Hero - Diamond Dude,,,DP05-EN003,1,0,,
Destiny Hero - Doom Lord,,,DP05-EN001,1,0,,
Detonate,,,LCYW-EN088,1,0,,
Dhampir Vampire Sheridan,,,MP19-EN239,3,0,,
Diabound Kernel,,,LED5-EN008,1,0,,
Different Dimension Deepsea Trench,,,ABYR-EN052,0,1,,
Different Dimension Encounter,,,NECH-EN080,2,0,,
Digitron,,,SDCL-EN001,1,0,,
Dimensional Barrier,,,SDCL-EN039,1,0,,
Dinowrestler Capaptera,,,MP19-EN158,1,0,,
Dinowrestler Capoeiraptor,,,MP19-EN157,2,0,,
Dinowrestler Martial Ampelo,,,CHIM-EN006,0,1,,
Dinowrestler Rambrachio,,,RIRA-EN007,1,0,,
Dinowrestler Systegosaur,,,MP19-EN159,2,0,,
Dinowrestler Valeonyx,,,CHIM-EN007,1,1,,
Diplexer Chimera,,,MP19-EN184,1,0,,
Disciple of the Forbidden Spell,,,SOI-EN016,0,1,,
Divine Serpent Geh,,,CYHO-EN092,0,5,,
DMZ Dragon,,,RIRA-EN005,1,0,,
Dododo Bot,,,CBLZ-EN001,1,0,,
Dododo Buster,,,LED6-EN042,2,0,,
Donyoribo @Ignister,,,IGAS-EN007,2,0,,
Doomcaliber Knight,,,LED5-EN007,3,0,,
Doppelwarrior,,,LED6-EN031,2,0,,
Doshin @Ignister,,,IGAS-EN006,2,0,,
Dotscaper,,,SDCL-EN002,1,0,,
Double-Edged Sword,,,IGAS-EN068,1,0,,
Dragon Shrine,,,LED3-EN010,1,0,,
Dragunity Couse,,,MP19-EN085,2,0,,
Dragunity Couse,,,CYHO-EN017,0,3,,
Dragunity Divine Lance,,,SECE-EN062,1,0,,
Dragunity Legion,,,MP19-EN130,2,0,,
Dragunity Legion,,,CYHO-EN074,0,5,,
Dragunity Senatus,,,MP19-EN087,1,0,,
Dream Mirror Fantasy,,,RIRA-EN091,1,0,,
Dream Mirror of Chaos,,,CHIM-EN089,3,1,,
Earth Chant,,,LCYW-EN277,1,0,,
Earthquake,,,BP02-EN145,1,0,,
Echo Oscillation,,,SECE-EN079,1,0,,
Edge Imp Saw,,,CROS-EN012,1,0,,
Ego Boost,,,YS13-EN025,2,0,,
Ego Boost,,,SP13-EN034,1,0,,
Enemy Controller,,,YSDS-EN027,1,0,,
Escape of the Unchained,,,CHIM-EN069,3,0,,
ESP Amplifier,,,EXVC-EN055,1,0,,
Eternal Galaxy,,,MP19-EN206,2,0,,
Evil HERO Infernal Prodigy,,,LED5-EN019,2,0,,
Evil HERO Malicious Fiend,,,LED5-EN020,1,0,,
Exchange of the Spirit,,,DPRP-EN035,1,0,,
Execution of the Contract,,,IGAS-EN084,1,0,,
F.A. Overheat,,,MP19-EN064,1,0,,
F.A. Winners,,,MP19-EN065,1,0,,
Falling Current,,,GAOV-EN053,1,0,,
"Fandora, the Flying Furtress",,,MP19-EN254,1,0,,
"Feedran, the Winds of Mischief",,,IGAS-EN082,3,0,,
Fencing Fire Ferret,,,SDSB-EN017,3,0,,
Feral Imp,,,LCYW-EN008,1,0,,
Field Barrier,,,SDZW-EN028,1,0,,
Fiendish Chain,,,SDKS-EN039,1,0,,
Fighting Spirit,,,DP08-EN017,1,0,,
Fighting Spirit,,,BP01-EN081,1,0,,
Final Attack Orders,,,SDKS-EN036,1,0,,
Fire Ant Ascator,,,LED5-EN030,2,0,,
Fire Fighting Daruma Doll,,,MP19-EN031,1,0,,
Fire Formation - Tenki,,,CBLZ-EN059,1,0,,
Flamevell Firedog,,,SDSB-EN016,3,0,,
Fleur Synchron,,,SDSE-EN009,2,0,,
Foolish Burial,,,SDPD-EN027,1,0,,
Forbidden Dress,,,BP02-EN168,2,0,,
Formud Skipper,,,SDSB-EN022,3,0,,
Fortress Warrior,,,BP01-EN206,1,0,,
Frontline Base,,,MFC-028,0,1,,
Gagaga Samurai,,,LED6-EN040,1,0,,
Gagagawind,,,LTGY-EN057,1,0,,
Galactic Spiral Dragon,,,CHIM-EN016,0,2,,
Galaxy Brave,,,MP19-EN162,1,0,,
Galaxy Trance,,,MP19-EN198,1,0,,
Gateway of the Six,,,LCGX-EN259,1,0,,
Gavekeeper's Headman,,,MP19-EN163,1,0,,
Geargiano,,,GENF-EN030,1,0,,
Gem-Elephant,,,GENF-EN025,0,1,,
Ghost Meets Girl - A Mayakashi's Manuscript,,,IGAS-EN063,2,0,,
Ghostrick Fairy,,,IGAS-EN023,2,0,,
Ghostrick Skeleton,,,LVAL-EN024,1,0,,
Ghosts From the Past,,,SDCL-EN040,1,0,,
Giant Ballpark,,,MP19--EN200,2,0,,
Giant Rat,,,YS12-EN017,1,0,,
Giant Soldier of Stone,,,LCYW-EN007,1,0,,
Giant Soldier of Stone,,,SDY-013,0,1,,
Giant Trunade,,,DLG1-EN059,0,1,,
Gilasaurus,,,RP02-EN043,0,1,,
Gilasaurus,,,SD09-EN005,1,0,,
Gilford the Lightning,,,MIL1-EN006,1,0,,
Gimmick Puppet Des Troy,,,LED5-EN041,3,0,,
Gimmick Puppet Dreary Doll,,,LED5-EN039,1,0,,
Gimmick Puppet Magnet Doll,,,LED5-EN040,1,0,,
Gladiator Beast's Battle Archfiend Shield,,,PTDN-EN060,0,1,,
Gladiator's Return,,,RYMP-EN108,0,1,,
Goblin Attack Force,,,BP01-EN118,1,0,,
Goblin Elite Attack Force,,,BP02-EN040,2,0,,
Goblin Out of the Frying Pan,,,SD09-EN034,1,0,,
Goddess of Whim,,,LCYW-EN241,1,0,,
Gogogo Giant,,,SP14-EN003,1,0,,
Gogogo Giant,,,LED6-EN041,1,0,,
Gogogo Golem,,,SP13-EN003,1,0,,
Gogogo Golem - Golden Form,,,SECE-EN090,1,0,,
Gogogo Talisman,,,SECE-EN098,1,0,,
Gokipole,,,MP19-EN176,1,0,,
Gold Sarcophagus,,,LCYW-EN080,1,0,,
Gold Sarcophagus,,,SDCL-EN027,1,0,,
Gouki Face Turn,,,MP19-EN036,3,0,,
Gouki Heel Ogre,,,CYHO-EN038,0,5,,
Gouki Moonsault,,,MP19-EN074,2,0,,
Gouki Moonsault,,,CYHO-EN003,0,4,,
Gouki Octostretch,,,MP19-EN006,1,0,,
Gouki Ringtrainer,,,CYHO-EN005,0,4,,
Gouki Tagpartner,,,MP19-EN075,1,4,,
Gravekeeper's Chief,,,RP02-EN076,0,1,,
Gravekeeper's Headman,,,MP19-EN163,1,0,,
Gravekeeper's Supernaturalist,,,MP19-EN181,1,0,,
Gravity Controller,,,IGAS-EN049,3,0,,
Greenkappa,,,BPO1-EN056,1,0,,
Ground Spider,,,SOVR-EN016,0,1,,
Guard Ghost,,,IGAS-EN081,2,0,,
Gyroid,,,CRV-EN007,1,0,,
Gyroid,,,BP02-EN036,1,0,,
Hade-Hane,,,SOD-EN032,0,1,,
Hard-Sellin' Zombie,,,FOTB-EN057,1,0,,
Harmonizing Magician,,,LED6-EN053,1,0,,
Harpie Lady 2,,,RDS-EN018,1,0,,
Healing Wave Generator,,,DP08-EN008,1,0,,
Heartfelt Appeal,,,YS12-EN029,1,0,,
Heartless Drop Off,,,MP19EN051,1,0,,
Heavy Mech Support Platform,,,RDS-EN011,0,2,,
Helpoemer,,,DPRP-EN032,1,0,,
Herald of Creation,,,SDBE-EN015,0,1,,
Heraldic Beast Aberconway,,,ABYR-EN012,1,1,,
Heraldic Beast Berners Falcon,,,ABYR-EN013,1,0,,
HERO Flash!!,,,DP03-EN020,1,0,,
Hero Mask,,,LODT-EN045,0,1,,
Heroic Challenger - Swordshield,,,REDU-EN007,1,0,,
Hitotsu-Me Giant,,,DB1-EN099,0,1,,
Hiyari @Ignister,,,IGAS-EN005,1,0,,
Horus the Black Flame Dragon LV4,,,LCYW-EN197,1,0,,
Horus's Servant,,,LCYW-EN206,1,0,,
Humanoid Worm Drake,,,LON-005,0,1,,
Hunter of Black Feathers,,,TSHD-EN038,0,1,,
Hydro Pressure Cannon,,,ANPR-EN055,0,1,,
Hyena,,,FET-EN017,0,1,,
Imprisoned Queen Archfiend,,,PTDN-EN032,0,1,,
Inferno,,,SDSB-EN018,3,0,,
Infernoid Attondel,,,SECE-EN018,2,0,,
Informer Spider,,,ABPF-EN024,1,0,,
Instant Fusion,,,CDIP-EN040,1,0,,
Interrupt Resistor,,,MP19-EN149,1,0,,
Invincibility Barrier,,,MP19-EN211,1,0,,
Inzektor Ant,,,ORCS-EN018,0,1,,
Jester Confit,,,SDCL-EN020,1,0,,
Jet Synchron,,,OP09-EN018,0,1,,
Jewels of the Valiant,,,LTGY-EN067,0,1,,
Kabazauls,,,SD09-EN002,1,0,,
Kagetokage,,,SP13-EN009,0,1,,
Kagetokage,,,YS13-EN016,1,0,,
"Kahkki, Guerilla of Dark World",,,STON-EN018,1,0,,
Kaiser Sea Horse,,,SDBE-EN016,0,1,,
Kinka-Byo,,,SDCL-EN022,1,0,,
Knight's Title,,,LCYW-EN072,1,0,,
Koa'ki Meiru Sandman,,,TSHD-EN028,0,1,,
Krebons,,,HSRD-EN046,1,0,,
Lancer Lindwurm,,,EXVC-EN092,1,0,,
Launcher Commander,,,SDCL-EN012,1,0,,
Level Eater,,,DP09-EN011,1,0,,
Lightning Vortex,,,SD09-EN026,1,0,,
Link Bound,,,SDSB-EN030,3,0,,
Link Devotee,,,CYHO-EN036,0,3,,
Link Devotee,,,MP19-EN099,1,0,,
Link Party,,,IGAS-EN098,1,0,,
Link Streamer,,,MP19-EN003,1,0,,
Link Turret,,,CYHO-EN070,0,3,,
Link Turret,,,MP19-EN127,4,0,,
Ljosalf of the Nordic Alfar,,,STOR-EN014,0,1,,
Magic Cylinder,,,YS12-EN034,1,0,,
Magic Cylinder,,,SDSC-EN038,1,0,,
Magic Formula,,,LCYW-EN082,1,0,,
Magic Hole Golem,,,ABPF-EN008,1,0,,
Magic Planter,,,SDSB-EN031,3,0,,
Magical Dimension,,,LCYW-EN075,1,0,,
Magical Hats,,,LCYW-EN096,1,0,,
Magician of Faith,,,SDCL-EN019,1,0,,
Magicians Unite,,,LCYW-EN077,1,0,,
Magicians Unite,,,YSYR-EN035,1,0,,
"Maiku, The Magical Mist",,,LCYW-EN087,2,0,,
Makyura the Destructor,,,BP01-EN180,1,0,,
Malevolent Nuzzler,,,BP02-EN132,1,0,,
Mamemaki,,,MP19-EN052,2,0,,
Man-Eater Bug,,,LCYW-EN119,1,0,,
Mara of the Nordic Alfar,,,LC5D-EN188,1,0,,
Marincess Cascade,,,CHIM-EN068,0,1,,
Marincess Crown Tail,,,CHIM-EN003,1,0,,
Marincess Sea Star,,,RIRA-EN004,1,0,,
Marincess Wonder Heart,,,CHIM-EN041,0,1,,
Maryokutai,,,DB2-EN011,0,1,,
Mask of Darkness,,,BP01-EN172,1,0,,
Mataza the Zapper,,,BP02-EN025,1,0,,
Matching Outfits,,,IGAS-EN099,1,0,,
Mayhem Fur Hire,,,MP19-EN255,2,0,,
Megalith Bethor,,,IGAS-EN039,2,0,,
Megalith Emergence,,,IGAS-EN072,2,0,,
Megalith Hagith,,,IGAS-EN036,3,0,,
Megalith Och,,,IGAS-EN037,3,0,,
Megalith Phaleg,,,IGAS-EN038,2,0,,
Megalith Portal,,,IGAS-EN057,3,0,,
Mermail Abysshilde,,,ABYR-EN016,0,1,,
Mermail Abyssnerei,,,CIBR-EN028,1,0,,
Metaphys Ascension,,,CYHO-EN076,0,2,,
Metaphys Decoy Dragon,,,CYHO-EN018,0,2,,
Mind Control,,,SDCL-EN028,1,0,,
Mine Mole,,,DREV-EN014,1,0,,
Mini-Guts,,,GAOV-EN052,1,0,,
Miniborrel Dragon,,,MP19-EN103,2,0,,
Miniborrel Dragon,,,CYHO-EN040,0,4,,
Miracle's Wake,,,SDCL-EN033,1,0,,
Mirage Dragon,,,YSD-EN018,0,1,,
Mirage Dragon,,,BP02-EN031,1,0,,
Mist Valley Watcher,,,GLD3-EN001,0,1,,
Molten Destruction,,,DLG1-EN080,0,1,,
Molting Escape,,,SOVR-EN049,1,0,,
Monster Reborn Reborn,,,MP19-EN044,1,0,,
Monster Reincarnation,,,SDSB-EN027,3,0,,
Monster Slots,,,SP13-EN035,1,0,,
Moon Mirror Shield,,,SDCL-EN030,1,0,,
Moonlit Papillon,,,GAOV-EN014,1,0,,
Moray of Greed,,,OP11-EN019,0,1,,
Mountain,,,LOB-048,0,1,,
Mutually Affured Destruction,,,IGAS-EN078,1,0,,
Mystic Box,,,LCYW-EN076,1,0,,
Mystic Swordsman LV4,,,LCYW-EN201,1,0,,
Mystic Tomato,,,DLG1-EN077,0,1,,
Mystical Elf,,,YSYR-EN007,1,0,,
Mystical Space Typhoon,,,SD10-EN024,1,0,,
Mystical Space Typhoon,,,SDCR-EN026,0,1,,
Mystical Space Typhoon,,,YS15-ENF16,2,0,,
Mystrick Hulder,,,MP19-EN173,1,0,,
Mythical Institution,,,MP19-EN120,1,0,,
Mythical Institution,,,CYHO-EN062,0,2,,
Naturia Marron,,,PHSW-EN029,0,1,,
Necro Fusion,,,MP19-EN210,2,0,,
Necroface,,,DPRP-EN039,1,0,,
Needle Sunfish,,,SP13-EN011,1,0,,
Neo Space,,,DP03-EN024,1,0,,
Night Beam,,,SDPL-EN022,2,0,,
Nine-Lives Cat,,,IGAS-EN083,1,0,,
Ninjutsu Art of Transformation,,,AST-052,0,1,,
Noble Arms - Clarent,,,CYHO-EN091,0,1,,
Nordic Relic Drapnir,,,STOR-EN045,0,1,,
Number 10: Illumiknight,,,SP13-EN026,0,1,,
Number 34: Terror-Byte,,,SP13-EN025,0,1,,
Number 40: Gimmick Puppet of Strings,,,LED5-EN043,1,0,,
Obsessive Uvualoop,,,IGAS-EN028,3,0,,
Oilman,,,ABPF-EN036,1,0,,
Ojama Green,,,DP2-EN002,0,1,,
Ojamagic,,,EEN-EN040,0,3,,
Old Mind,,,CHIM-EN066,1,0,,
One Day of Peace,,,PHSW-EN060,0,1,,
Oracle of the Sun,,,LED5-EN029,1,0,,
Ostinato,,,MP19-EN232,1,0,,
Out of the Blue,,,EXVC-EN061,0,2,,
Overlay Eater,,,GAOV-EN007,0,1,,
Overload Fusion,,,LEDD-ENB16,2,0,,
Parasitic Ticky,,,SOI-EN018,0,1,,
Pendulum Dimension,,,LED6-EN049,1,0,,
Performage Damage Juggler,,,CORE-EN015,2,0,,
Performage Trick Clown,,,CORE-EN018,2,0,,
Performapal Gold Fang,,,MP19-EN147,1,0,,
Performapal Handsamuraiger,,,CYHO-EN093,0,2,,
Performapal Handsamuraiger,,,MP19-EN145,1,0,,
Performapal Lebellman,,,CYHO-EN094,0,1,,
Performapal Stamp Turtle,,,SECE-EN005,1,1,,
Phantom Magician,,,GENF-EN092,1,0,,
Phantom of Chaos,,,BP01-EN196,1,0,,
Photon Generator Unit,,,SOI-EN045,0,1,,
Photon Lead,,,PHSW-EN051,1,2,,
Poly-Chemicritter Hydragon,,,INOV-EN027,1,0,,
Pot of Generosity,,,CRV-EN043,1,0,,
Power Bond,,,LEDD-ENB15,2,0,,
Power Bond,,,SDCR-EN022,1,1,,
Power Supplier,,,ABPF-EN007,1,0,,
Powerful Rebirth,,,SDCL-EN034,1,0,,
Predaplant Chlamydosundew,,,LED5-EN051,1,0,,
Predaplant Dragostapelia,,,LED5-EN053,1,0,,
Predaplant Dragostapelia,,,MP19-EN228,2,0,,
Predaplant Drosophyllum Hydra,,,LED5-EN050,2,0,,
Predaplant Moray Nepenthes,,,INOV-EN007,1,0,,
Predaplant Ophrys Scorpio,,,OP06-EN016,0,1,,
Predaplast,,,LED5-EN055,1,0,,
Predaponics,,,LED5-EN054,1,0,,
Prediction Princess Tarotrei,,,OP02-EN021,0,1,,
Premature Return,,,SDCL-EN035,1,0,,
Primal Seed,,,DR2-EN042,0,1,,
"Prometeor, the Burning Star",,,CHIM-EN025,2,0,,
Psychic Ace,,,MP19-EN092,2,0,,
Psychic Snail,,,TDGS-EN021,0,1,,
Pyramid of Light,,,MOV-EN004,0,2,,
Quaking Mirror Force,,,LEDD-ENB23,1,0,,
Quantum Cat,,,SDCL-EN037,1,0,,
Quillbolt Hedgehog,,,5DS2-EN013,1,0,,
Quillbolt Hedgehog,,,DP08-EN005,2,0,,
Rabidragon,,,SDBE-EN002,1,0,,
Rabidragon,,,PHSW-EN002,1,2,,
Raidraptor - Rise Falcon,,,SECE-EN050,1,0,,
Rainbow Refraction,,,MP19-EN069,2,0,,
Rare Metal Dragon,,,EP1-EN004,0,1,,
Rare Metalmorph,,,SDMM-EN034,1,0,,
Rare Metalmorph,,,BP03-EN200,1,0,,
Reboot,,,EXVC-EN052,1,1,,
Recoded Alive,,,SDCL-EN032,1,0,,
"Recon, Scout Fur Hire",,,MP19-EN245,1,0,,
Red Gadget,,,DPRP-EN022,1,0,,
Red Hared Hasty Horse,,,MP19-EN017,1,0,,
Red Resonator,,,SDSB-EN020,3,0,,
Red Sparrow Summoner,,,YS14-EN018,1,0,,
Red Wyvern,,,DPDG-EN032,2,0,,
Red-Eyes B. Dragon,,,LDK2-ENJ01,1,0,,
Reinforcement of the Army,,,YS13-EN029,1,0,,
Release Restraint,,,SD5-EN032,1,0,,
Release Restraint Wave,,,DP09-EN019,1,0,,
Relinquished,,,MIL1-EN008,2,0,,
Reload,,,SD3-EN023,1,0,,
Reload,,,SD1-EN019,0,1,,
Rescue Interlacer,,,RIRA-EN001,1,0,,
Restoration of the Monarchs,,,MP19-EN040,2,0,,
Restoration Point Guard,,,MP19-EN100,1,0,,
Restoration Point Guard,,,CYHO-EN037,0,4,,
Resurgam XYZ,,,IGAS-EN074,2,0,,
